1	48000000	52000000	highLD1
2	86000000	100500000	highLD2
2	134500000	138000000	highLD3
2	183000000	190000000	highLD4
3	47500000	50000000	highLD5
3	83500000	87000000	highLD6
3	89000000	97500000	highLD7
5	44500000	50500000	highLD8
5	98000000	100500000	highLD9
5	129000000	132000000	highLD10
5	135500000	138500000	highLD11
6	25000000	35000000	highLD12
6	57000000	64000000	highLD13
6	140000000	142500000	highLD14
7	55000000	66000000	highLD15
8	7000000	13000000	highLD16
8	43000000	50000000	highLD17
8	112000000	115000000	highLD18
10	37000000	43000000	highLD19
11	46000000	57000000	highLD20
11	87500000	90500000	highLD21
12	33000000	40000000	highLD22
12	109500000	112000000	highLD23
20	32000000	34500000	highLD24
